# A-share company profile for 002644.SZ

公司名称,英文名称,曾用简称,A股代码,A股简称,B股代码,B股简称,H股代码,H股简称,入选指数,所属市场,所属行业,法人代表,注册资金,成立日期,上市日期,官方网站,电子邮箱,联系电话,传真,注册地址,办公地址,邮政编码,主营业务,经营范围,机构简介
兰州佛慈制药股份有限公司,"Lanzhou Foci Pharmaceutical Co., Ltd.",,002644,佛慈制药,,,,,"国证2000,国证Ａ指",深交所主板,医药制造业,单小东,51065.7,2000-06-28,2011-12-22,www.fczy.com,zqb@fczy.com,0931-8362318,0931-8368945,甘肃省兰州市兰州新区华山路2289号,甘肃省兰州市兰州新区华山路2289号,730000,中成药的研发、制造和销售。,中成药、西药、中药饮片（生产地址及范围详见药品生产许可证）及包装品的生产、批发零售；中药材种植、收购、加工、销售；自有资产投资、租赁、转让、收益；利用自有显示屏发布自产药品广告；自营和代理各类商品和技术进出口（国家限制和禁止的项目除外）；热力生产和供应；医疗器械的研发、生产及销售；口罩、防护服的生产和销售。（依法须经批准的项目，经有关部门批准后方可经营）,"公司设立方式为发起设立。1999年12月8日，兰州佛慈制药厂、兰州医药（集团）有限公司、兰州大得利生物化学制药（厂）有限公司、兰州市煤炭工业总公司、甘肃省兰洁药用制瓶有限公司、甘肃润凯绒毛有限公司、兰州轻工业机械厂签署《设立兰州佛慈制药股份有限公司发起人协议》，共同发起设立兰州佛慈制药股份有限公司。2000年6月27日，甘肃省人民政府以“甘政函[2000]64号文”批复同意设立兰州佛慈制药股份有限公司。2000年6月28日，公司在甘肃省工商行政管理局注册登记成立，注册登记号为6200001051372，设立时注册资本6,058万元。"


## 主营业务简介

股票代码,主营业务,产品类型,产品名称,经营范围
002644,中成药研发、生产和销售，中药材种植和销售，中药饮片加工和销售，大健康产品研发、生产和销售等业务。,中药、中药材及防护用品、食品保健品、药品包装材料、核酸检测服务,中药、中药材及防护用品、食品保健品、药品包装材料、核酸检测服务,中成药、西药、中药饮片及包装品的生产、批发零售；中药材种植、收购、加工、销售；自有资产投资、租赁、转让、收益；自有显示屏发布自产药品广告；自营和代理各类商品和技术进出口（国家限制和禁止的项目除外）；热力生产与供应。


## 最新主营构成

股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
002644,2025-06-30,按行业分类,医药行业,428898724.88,0.998913,283646238.55,0.998946,145252486.33,0.998848,0.338664
002644,2025-06-30,按行业分类,食品行业,466741.92,0.001087,299179.88,0.001054,167562.04,0.001152,0.359004
002644,2025-06-30,按产品分类,中药、中药材及防护用品,426837723.86,0.994113,281992611.72,0.993123,144845112.14,0.996046,0.339345
002644,2025-06-30,按产品分类,药品包装材料,2061001.02,0.0048,1653626.83,0.005824,407374.19,0.002801,0.197658
002644,2025-06-30,按产品分类,食品保健品,466741.92,0.001087,299179.88,0.001054,167562.04,0.001152,0.359004
002644,2025-06-30,按地区分类,国内,376020853.85,0.875759,239776544.58,0.844446,136244309.27,0.936902,0.362332


## 最新关键财务摘要

指标,20250930
归母净利润,38082371.36
营业总收入,624055200.7
扣非净利润,23809045.68
基本每股收益,0.0746
每股净资产,3.567688
资产负债率,26.863077
基本每股收益,0.0746
归母净利润,38082371.36
营业总收入,624055200.7
扣非净利润,23809045.68
资产负债率,26.863077
